Datetime,Team,Credits
2020-04-17 21:22:15,MindBridge Ai,22896245
2020-04-17 21:22:24,Shopify,17596213
2020-04-17 21:42:25,MindBridge Ai,22991479
2020-04-17 21:42:12,Shopify,17637016
2020-04-17 22:22:28,MindBridge Ai,23081817
2020-04-17 22:22:40,Shopify,17847723
2020-04-17 22:52:05,MindBridge Ai,23548990
2020-04-17 22:42:14,Shopify,17864841
2020-04-17 23:22:32,MindBridge Ai,23625703
2020-04-17 23:12:28,Shopify,17929449
2020-04-17 23:42:06,MindBridge Ai,23746511
2020-04-17 23:42:23,Shopify,17994859
2020-04-18 00:02:26,MindBridge Ai,24199931
2020-04-18 00:22:41,Shopify,18073883
2020-04-18 00:42:02,MindBridge Ai,24228642
2020-04-18 00:42:04,Shopify,18100641
2020-04-18 01:02:22,MindBridge Ai,24403059
2020-04-18 01:12:29,Shopify,18355916
2020-04-18 01:42:13,MindBridge Ai,24706948
2020-04-18 01:32:28,Shopify,18422859
2020-04-18 02:22:37,MindBridge Ai,24871181
2020-04-18 02:12:21,Shopify,18814449
2020-04-18 02:42:12,MindBridge Ai,25040091
2020-04-18 02:52:19,Shopify,18887212
2020-04-18 03:22:13,MindBridge Ai,25340515
2020-04-18 03:22:14,Shopify,19163726
2020-04-18 03:32:11,MindBridge Ai,25342570
2020-04-18 03:42:29,Shopify,19207516
2020-04-18 04:02:16,MindBridge Ai,25487198
2020-04-18 04:22:42,Shopify,19289364
2020-04-18 04:42:28,MindBridge Ai,25677869
2020-04-18 04:42:26,Shopify,19443100
2020-04-18 05:22:21,MindBridge Ai,25747013
2020-04-18 05:02:28,Shopify,19492857
2020-04-18 05:42:49,MindBridge Ai,25982015
2020-04-18 05:42:19,Shopify,19528947
2020-04-18 06:02:16,MindBridge Ai,26283193
2020-04-18 06:22:23,Shopify,19575855
2020-04-18 06:42:39,MindBridge Ai,26560094
2020-04-18 06:42:35,Shopify,19680674
2020-04-18 07:12:09,MindBridge Ai,26735005
2020-04-18 07:02:26,Shopify,19700314
2020-04-18 07:52:15,MindBridge Ai,27170267
2020-04-18 07:42:18,Shopify,19737774
2020-04-18 08:12:07,MindBridge Ai,27180052
2020-04-18 08:02:23,Shopify,19795792
2020-04-18 08:32:34,MindBridge Ai,27191431
2020-04-18 08:42:40,Shopify,19927847
2020-04-18 09:12:19,MindBridge Ai,27327651
2020-04-18 09:22:13,Shopify,19971334
2020-04-18 09:52:20,MindBridge Ai,27486850
2020-04-18 09:42:37,Shopify,20016537
2020-04-18 10:12:26,MindBridge Ai,27503585
2020-04-18 10:22:59,Shopify,20366326
2020-04-18 10:32:50,MindBridge Ai,27669695
2020-04-18 10:42:25,Shopify,20406143
2020-04-18 11:12:44,MindBridge Ai,27807928
2020-04-18 11:12:35,Shopify,20454279
2020-04-18 11:52:13,MindBridge Ai,27967999
2020-04-18 11:42:21,Shopify,20477538
2020-04-18 12:12:23,MindBridge Ai,27983419
2020-04-18 12:24:00,Shopify,20509156
2020-04-18 12:42:18,MindBridge Ai,28427996
2020-04-18 12:32:19,Shopify,20512722
2020-04-18 13:22:01,MindBridge Ai,28588772
2020-04-18 13:12:32,Shopify,20673613
2020-04-18 13:42:43,MindBridge Ai,28665597
2020-04-18 13:52:33,Shopify,20846759
2020-04-18 14:02:47,MindBridge Ai,28669436
2020-04-18 14:22:36,Shopify,20914723
2020-04-18 14:32:19,MindBridge Ai,28812576
2020-04-18 14:42:22,Shopify,20952640
2020-04-18 15:12:11,MindBridge Ai,28826578
2020-04-18 15:12:29,Shopify,20970926
2020-04-18 15:32:25,MindBridge Ai,28834875
2020-04-18 15:52:30,Shopify,21267152
2020-04-18 16:12:10,MindBridge Ai,29220971
2020-04-18 16:12:17,Shopify,21391603
2020-04-18 16:24:14,MindBridge Ai,29492319
2020-04-18 16:42:09,Shopify,21759718
2020-04-18 17:12:09,MindBridge Ai,29606382
2020-04-18 17:22:21,Shopify,21798089
2020-04-18 17:32:32,MindBridge Ai,29716625
2020-04-18 17:42:33,Shopify,21940284
2020-04-18 18:22:34,MindBridge Ai,30063371
2020-04-18 18:22:13,Shopify,22265135
2020-04-18 18:42:55,MindBridge Ai,30230769
2020-04-18 18:42:33,Shopify,22297148
2020-04-18 19:02:19,MindBridge Ai,30243335
2020-04-18 19:12:24,Shopify,22543457
2020-04-18 19:42:11,MindBridge Ai,30329680
2020-04-18 19:52:30,Shopify,22827423
2020-04-18 20:12:25,MindBridge Ai,30525768
2020-04-18 20:02:31,Shopify,23110982
2020-04-18 20:32:33,MindBridge Ai,30663293
2020-04-18 20:42:22,Shopify,23195011
2020-04-18 21:12:24,MindBridge Ai,30704526
2020-04-18 21:12:33,Shopify,23349255
2020-04-18 21:52:19,MindBridge Ai,30872315
2020-04-18 21:52:21,Shopify,23528580
2020-04-18 22:02:21,MindBridge Ai,30876378
2020-04-18 22:22:44,Shopify,23738881
2020-04-18 22:42:22,MindBridge Ai,31383413
2020-04-18 22:52:34,Shopify,23767219
2020-04-18 23:22:04,MindBridge Ai,31404192
2020-04-18 23:12:26,Shopify,23945148
2020-04-18 23:42:09,MindBridge Ai,31417592
2020-04-18 23:42:05,Shopify,24201674
2020-04-19 00:25:05,MindBridge Ai,31624613
2020-04-19 00:24:44,Shopify,24285061
2020-04-19 00:42:36,MindBridge Ai,31901231
2020-04-19 00:42:29,Shopify,24315655
2020-04-19 01:22:20,MindBridge Ai,31968327
2020-04-19 01:22:31,Shopify,24541238
2020-04-19 01:42:14,MindBridge Ai,32132674
2020-04-19 01:42:33,Shopify,24674507
2020-04-19 02:02:17,MindBridge Ai,32180107
2020-04-19 02:22:22,Shopify,24980276
2020-04-19 02:32:28,MindBridge Ai,32722535
2020-04-19 02:42:11,Shopify,25086462
2020-04-19 03:12:21,MindBridge Ai,33002687
2020-04-19 03:12:21,Shopify,25250252
2020-04-19 03:32:07,MindBridge Ai,33009736
2020-04-19 03:32:30,Shopify,25403375
2020-04-19 04:02:14,MindBridge Ai,33285398
2020-04-19 04:12:29,Shopify,25871147
2020-04-19 04:52:05,MindBridge Ai,33484381
2020-04-19 04:32:56,Shopify,26067266
2020-04-19 05:02:18,MindBridge Ai,33488654
2020-04-19 05:12:17,Shopify,26159988
2020-04-19 05:42:23,MindBridge Ai,33758956
2020-04-19 05:52:31,Shopify,26413124
2020-04-19 05:52:07,MindBridge Ai,33762193
2020-04-19 06:12:12,Shopify,26492999
2020-04-19 06:42:19,MindBridge Ai,34018176
2020-04-19 06:52:28,Shopify,26706527
2020-04-19 07:12:32,MindBridge Ai,34034910
2020-04-19 07:12:12,Shopify,26814875
2020-04-19 07:42:18,MindBridge Ai,34316369
2020-04-19 07:52:22,Shopify,27109143
2020-04-19 08:12:31,MindBridge Ai,34334233
2020-04-19 08:12:21,Shopify,27156938
2020-04-19 08:42:36,MindBridge Ai,34536412
2020-04-19 08:32:37,Shopify,27490281
2020-04-19 09:02:39,MindBridge Ai,34712875
2020-04-19 09:12:14,Shopify,27776646
2020-04-19 09:42:15,MindBridge Ai,34728151
2020-04-19 09:52:17,Shopify,27900067
2020-04-19 10:22:29,MindBridge Ai,34864142
2020-04-19 10:12:30,Shopify,28311710
2020-04-19 10:42:15,MindBridge Ai,34954554
2020-04-19 10:32:26,Shopify,28333278
2020-04-19 11:12:20,MindBridge Ai,35219582
2020-04-19 11:12:23,Shopify,28599251
2020-04-19 11:42:44,MindBridge Ai,35223273
2020-04-19 11:52:25,Shopify,28880338
2020-04-19 12:12:35,MindBridge Ai,35324304
2020-04-19 12:12:19,Shopify,28891837
2020-04-19 12:42:22,MindBridge Ai,35575353
2020-04-19 12:52:20,Shopify,29165698
2020-04-19 13:23:05,MindBridge Ai,36003449
2020-04-19 13:02:15,Shopify,29506639
2020-04-19 13:23:05,MindBridge Ai,36003449
2020-04-19 13:42:31,Shopify,29539476
2020-04-19 14:12:21,MindBridge Ai,36026738
2020-04-19 14:23:41,Shopify,29967533
2020-04-19 14:42:17,MindBridge Ai,36602883
2020-04-19 14:32:48,Shopify,29989412
2020-04-19 15:23:20,MindBridge Ai,36650585
2020-04-19 15:12:35,Shopify,30030803
2020-04-19 15:32:12,MindBridge Ai,36660992
2020-04-19 15:32:20,Shopify,30154614
2020-04-19 16:02:13,MindBridge Ai,36835457
2020-04-19 16:12:28,Shopify,30471063
